KASHIF|2026-08-30|CANCEL|total_qty|89.00
KASHIF|2026-08-30|CASHBANK|shifts|5.00
KASHIF|2026-08-30|CASHBANK|opening_cash|0.00
KASHIF|2026-08-30|CASHBANK|expected_cash|728012.00
KASHIF|2026-08-30|CASHBANK|counted_cash|296880.00
KASHIF|2026-08-30|CASHBANK|cash_variance|-431132.00
KASHIF|2026-08-30|CASHBANK|refunds|6730.00
KASHIF|2026-08-30|CASHBANK|cash|731582.00
KASHIF|2026-08-30|CASHBANK|card|76295.00
KASHIF|2026-08-30|CASHBANK|bank_transfer|13180.00
KASHIF|2026-08-30|CASHBANK|amount|13180.00
KASHIF|2026-08-30|CASHBANK|rows|5.00
KASHIF|2026-08-30|CASHBANK|amount|731582.00
KASHIF|2026-08-30|CASHBANK|rows|348.00
KASHIF|2026-08-30|CASHBANK|amount|3570.00
KASHIF|2026-08-30|CASHBANK|rows|3.00
KASHIF|2026-08-30|CASHBANK|amount|76295.00
KASHIF|2026-08-30|CASHBANK|rows|28.00
KASHIF|2026-08-30|CASHBANK|cash_in|731582.00
KASHIF|2026-08-30|CASHBANK|cash_out|3570.00
KASHIF|2026-08-30|CASHBANK|net_cash_movement|728012.00
KASHIF|2026-08-30|CASHBANK|bank_in|13180.00
KASHIF|2026-08-30|CASHBANK|bank_out|0.00
KASHIF|2026-08-30|CASHBANK|net_bank_movement|13180.00
KASHIF|2026-08-30|CASHBANK|expected_cash_formula|724852.00
KASHIF|2026-08-30|DETAILS|rows|1161
KASHIF|2026-08-30|DETAILS|qty|1624.00
KASHIF|2026-08-30|DETAILS|net|816250.00
KASHIF|2026-08-31|OVERVIEW|net_sales|463120.00
KASHIF|2026-08-31|OVERVIEW|sold_qty|813.00
KASHIF|2026-08-31|OVERVIEW|returns_amount|5630.00
KASHIF|2026-08-31|OVERVIEW|returned_qty|12.00
KASHIF|2026-08-31|CATEGORY|Starter|qty=5.00|net=5450.00
KASHIF|2026-08-31|CATEGORY|Crispy Fried Chicken|qty=7.00|net=5250.00
KASHIF|2026-08-31|CATEGORY|Kids House|qty=4.00|net=2900.00
KASHIF|2026-08-31|CATEGORY|Burgers|qty=28.00|net=22355.00
KASHIF|2026-08-31|CATEGORY|Smash Burgers|qty=5.00|net=4800.00
KASHIF|2026-08-31|CATEGORY|Sandwiches|qty=16.00|net=14200.00
KASHIF|2026-08-31|CATEGORY|Fries|qty=7.00|net=2550.00
KASHIF|2026-08-31|CATEGORY|Pizza Fries|qty=6.00|net=4800.00
KASHIF|2026-08-31|CATEGORY|Chinese|qty=20.00|net=25350.00
KASHIF|2026-08-31|CATEGORY|Continental|qty=19.00|net=23400.00
KASHIF|2026-08-31|CATEGORY|Bar-B-Que|qty=48.00|net=57400.00
KASHIF|2026-08-31|CATEGORY|Bar-B-Que New Arrivals|qty=2.00|net=2700.00
KASHIF|2026-08-31|CATEGORY|Paratha|qty=35.00|net=4340.00
KASHIF|2026-08-31|CATEGORY|Rolls|qty=38.00|net=14920.00
KASHIF|2026-08-31|CATEGORY|Singaporean Rice|qty=243.00|net=198530.00
KASHIF|2026-08-31|CATEGORY|Chicken Biryani|qty=51.00|net=26195.00
KASHIF|2026-08-31|CATEGORY|Beverages|qty=215.00|net=25290.00
KASHIF|2026-08-31|CATEGORY|Raita & Salad|qty=18.00|net=1900.00
KASHIF|2026-08-31|CATEGORY|Extras|qty=21.00|net=5590.00
KASHIF|2026-08-31|CATEGORY|Al-Faham Components|qty=5.00|net=9500.00
KASHIF|2026-08-31|CATEGORY|Dessert|qty=8.00|net=2400.00
KASHIF|2026-08-31|ITEM|pid=158|Singaporean Rice (Regular) (Midnight)|qty=191.00|net=119630.00
KASHIF|2026-08-31|ITEM|pid=159|Singaporean Rice (Large)|qty=34.00|net=35700.00
KASHIF|2026-08-31|ITEM|pid=206|Singaporean Rice Khass (2-3 Persons)|qty=7.00|net=20300.00
KASHIF|2026-08-31|ITEM|pid=175|Soft Drink (345 ml)|qty=138.00|net=16560.00
KASHIF|2026-08-31|ITEM|pid=163|Singaporean Rice Family Pack (Large)|qty=4.00|net=16400.00
KASHIF|2026-08-31|ITEM|pid=160|Singaporean Rice (Platter)|qty=10.00|net=15800.00
