order_item_id,name,category_id,unit,order_rate,meat_rate,service_rate,qty_in_no,cat_allow,kitchen_id,kitchen_allow
332,"SHASHLIK BOTI BEEF",4,KGS,2150,1550,600,0,Y,3,Y
333,LASSI,16,NOS,60,0,60,0,N,18,N
334,"GOLA GANDA",1,P/H,40,0,40,0,N,24,N
335,"CHANA CHAT",6,P/H,150,0,150,0,N,24,Y
336,"BUN KABAB",16,NOS.,90,0,90,0,N,5,Y
337,"ALOO PARATHA",8,NOS,0,0,0,0,N,15,N
338,"DHAKA CHICKEN",5,KGS,1375,775,600,0,Y,11,Y
339,PANIPURI,6,NOS,120,0,120,0,N,24,Y
340,"CORDON BLUE CHICKEN",5,KGS,1375,775,600,0,N,11,Y
341,"CHICKEN LOLY POP",5,KGS,1305,705,600,0,Y,11,Y
342,"KARAHI GREEN CHICKEN",3,KGS,1685,535,1150,0,Y,1,Y
343,"CHANP FRIED MUTTON",5,KGS,3250,2600,650,0,Y,1,Y
346,"PINEAPPLE RUSGULLA",7,NOS,0,0,0,0,N,16,N
347,"SPRING ROLL CH CHESS,MINI",5,PH,35,0,35,0,Y,5,Y
349,"PALAK PANEER CHICKEN",3,KGS,935,535,400,0,Y,1,Y
350,"DESSERT BAR",7,P/H,90,0,90,0,N,6,Y
351,"MAAL PURA",7,,0,0,0,0,N,13,N
352,"CHEERY CREAM",7,KGS,1300,0,1300,0,Y,1,Y
356,"PULAOW FISH",2,KGS,1100,0,1100,0,Y,1,Y
359,SHEERMAL,8,PCS,85,0,85,0,N,15,N
360,"SALAD PLATER GREEN",10,,1500,0,1500,0,N,1,Y
361,"BIRYANI MASALA BEEF",2,KGS,2650,1450,1200,0,Y,1,Y
362,"NAN MILKY",8,PCS,50,0,50,0,N,15,Y
368,TAFTAN,8,NOS,85,0,85,0,N,15,Y
369,"TIKKA CHICKEN IN PCS",4,PCS,0,0,0,0,Y,3,Y
372,"PARATHA (PCS)",5,PCS,0,0,0,0,N,1,N
374,"PIYYAZ CHATNI",10,,0,0,0,0,Y,1,Y
375,"BIRYANI MASALA BEEF BONELESS",2,KGS,2950,1750,1200,0,Y,1,Y
376,BISCUIT,16,KGS,1050,0,1050,0,N,21,Y
379,"HANDI BEEF BONELESS",3,KGS,2650,1750,900,0,Y,1,Y
382,"ACHAR HANDI BEEF",3,KGS,2350,1450,900,0,Y,1,Y
386,"SHIMLA MIRCH QEEMA BEEF",3,KGS,2450,1550,900,0,Y,1,Y
387,"PASINDAY BEEF",3,KGS,2450,1750,700,0,Y,1,Y
389,"VEGETABLE CHOWMING",3,P/H,60,0,60,0,N,1,Y
391,"CHILLIES VEGETABLE CHICKEN",3,KGS,1175,775,400,0,Y,1,Y
397,"NARGASI KOFTAY CHICKEN",3,KGS,1675,775,900,0,Y,1,Y
398,"KOFTA CHICKEN",3,KGS,1575,775,800,0,Y,1,Y
399,"AALOO QORMA CHICKEN",3,KGS,1485,535,950,0,Y,1,Y
400,"BALTI GOSHT CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
401,"STEW QEEMA CHICKEN",3,KGS,1675,775,900,0,Y,1,Y
405,"NIHARI CHICKEN",3,KGS,1535,535,1000,0,N,1,Y
410,"MASALA PRAWN",3,KGS,500,0,500,0,Y,1,Y
411,"JALFREZI PRAWN",3,KGS,500,0,500,0,Y,1,Y
413,"VEGETABLE CHILLIES PRAWN",3,KGS,400,0,400,0,Y,1,Y
414,"GINGER PRAWN",3,KGS,400,0,400,0,Y,1,Y
415,PURI,4,KGS,650,0,650,0,N,1,Y
421,"HANDI MUTTON",3,KGS,3900,2900,1000,0,Y,1,Y
422,"JALFAREZI MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
429,"BALTI GOSHT MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
431,"SALAM BAKRA",5,NOS,3600,2400,1200,0,Y,10,Y
433,"FRESH LIME",1,NOS,25,0,25,0,N,1,N
436,"SALAD BAR CONTINATAL 9 BOWL",10,,4500,0,4500,0,N,17,N
437,"SALAD BAR CONTINATAL 16 BOWL",10,,13000,0,13000,0,N,17,Y
438,"SALAD BAR CONTINATAL 18 BOWLS",10,,14000,0,14000,0,N,17,Y
439,"SALAD BAR CONTINATAL 24 BOWLS",10,,18000,0,18000,0,N,17,Y
442,"HANDI FISH",3,KGS,1150,0,1150,0,Y,1,Y
446,"MASALA FISH",3,KGS,700,0,700,0,Y,1,Y
447,"GREN MASALA FISH",3,KGS,900,0,900,0,Y,1,Y
449,"DHAKA DESI FISH",5,KGS,600,0,600,0,Y,11,Y
450,"FISH TEMPURA",5,KGS,650,0,650,0,Y,1,Y
452,"CHICKEN THAI SOUP",1,P/H,70,0,70,0,N,1,Y
453,"CHICKEN VEG. SOUP",1,P/H,50,0,50,0,N,1,Y
455,"BASNI ROTI",8,PCS,80,0,80,0,N,15,Y
456,"DISCO ROTI",8,PCS,20,0,20,0,N,15,Y
457,"AFGHANI BOTI CHICKEN",4,KGS,985,535,450,0,Y,3,Y
459,"KASTURI KABAB CHICKEN",4,KGS,1225,775,450,0,Y,3,Y
460,"MALAI TIKKA CHICKEN",4,KGS,985,535,450,0,Y,3,Y
461,"BIRYANI TIKKA CHICKEN",2,KGS,1785,535,1250,0,Y,1,Y
462,"DHAGA KABAB CHICKEN",4,KGS,1700,0,1700,0,Y,3,Y
464,"SHAKAR KANDI KHEER",7,KGS,1000,0,1000,0,N,1,Y
466,"ZAFRANI KHEER",7,KGS,1100,0,1100,0,N,1,Y
467,"FRUIT CUSTARD",7,KGS,800,0,800,0,N,1,Y
469,"FRIED RICE BEEF",2,KGS,3050,1750,1300,0,Y,1,Y
472,"FRIED RICE MUTTON",2,KGS,1300,0,1300,0,Y,1,Y
474,"FRIED RICE PRAWN",2,KGS,1300,0,1300,0,Y,1,Y
475,"BIRYANI MASALA PRAWN",2,KGS,1200,0,1200,0,Y,1,Y
476,"PULAOW PRAWN",2,KGS,1150,0,1150,0,Y,1,Y
477,"STEAM RICE (WHITE)",2,KGS,1000,0,1000,0,Y,1,Y
478,"VEGETABLE RICE",2,KGS,1300,0,1300,0,N,1,Y
480,"BIRYANI MASALA KOFTA CHICKEN",2,KGS,1975,775,1200,0,Y,1,Y
481,"BIRYANI MASALA KOFTA BEEF",2,KGS,2950,1750,1200,0,Y,1,Y
483,"PULAOW KOFTA BEEF",2,KGS,2700,1550,1150,0,Y,1,Y
484,"YAKHNI PULAOW BEEF BONELESS",2,KGS,3000,1750,1250,0,Y,1,Y
488,"STEW QEEMA BEEF",3,KGS,2650,1750,900,0,Y,1,Y
489,"CHICKEN CHEESE TEMPURA",5,KG,1425,775,650,0,Y,11,Y
491,"KARAHI BEEF BONELESS(LIVE)",3,KGS,2700,1750,950,0,Y,1,Y
494,"CHARGHA CHICKEN",5,KGS,1135,535,600,0,Y,1,Y
495,"CHANDAN KABAB",4,KGS,1500,0,1500,0,N,3,N
498,"MAKHNI CHICKEN",3,,1335,535,800,0,Y,1,Y
499,"QORMA BEEF BONELESS",3,KG,2650,1750,900,0,Y,1,Y
500,"QORMA BEEF",3,,2350,1450,900,0,Y,1,Y
503,"KHEER QULFA",7,KGS,950,0,950,0,N,1,N
504,"PACKING SMALL",15,1,3.85,0,3.85,0,N,2,N
505,"PACKING LARGE BOXES",17,,0,0,0,0,N,25,Y
